1	Momupoh	Vujuoyzouur	1962-06-09
2	Iivujyc	Kugemoz	1959-09-20
3	Tacasyn	Myzipevuvev	1976-09-02
4	Dowieucev	Gaoumieej	1980-02-24
5	Payytogok	Pepuyef	1968-11-06
6	Yyyaeuiaruj	Sylovymaq	1992-11-14
7	Bakosuu	Vyuyeof	1960-07-24
8	Tagenakop	Uajycauuhib	1972-12-12
9	Qobawip	Mueifujihey	1977-02-01
10	Nozinyfoloa	Guquwij	1984-08-01
11	Mobeial	Vowiuobueao	1982-01-17
12	Maoabofihah	Rauitoq	1953-01-17
13	Gapyiar	Gekiaisexaw	1964-09-19
14	Juhatovup	Dodanafevok	1995-05-10
15	Lixybuvec	Xumueua	1966-07-26
16	Fecaeue	Ielolebug	1966-11-05
17	Wakilylii	Mogagueug	1960-02-02
18	Ougegim	Ralyfywoi	1969-08-24
19	Ioranoo	Dezyrir	1983-09-16
20	Nyceqib	Oyaityfuh	1957-06-14
21	Xynibibub	Eopyjiceaeh	1961-07-09
22	Yetuben	Eyjubogyg	1959-06-17
23	Xaiojuharar	Koviaotig	1965-08-08
24	Oyhifag	Luquroueh	1951-09-13
25	Coganeoia	Likelojocoq	1997-11-15
26	Synidiu	Coeauefiret	1976-12-03
27	Kayiqokow	Bopyeayeoeq	1997-05-13
28	Vavefoj	Rooocehiy	1972-07-11
29	Kaeadajyq	Duqevaneg	1994-08-22
30	Aofovetya	Kyravuyiz	1956-05-03
31	Pidakiiih	Fayevedeo	1958-04-11
32	Fehoteuuz	Qaqonooujyn	1976-07-06
33	Oavaxefunek	Xaouvauoyea	1956-07-13
34	Piwaauu	Ryaieug	1952-05-24
35	Zefyoexae	Daqapua	1969-12-15
36	Bubumoxyu	Jyzojogay	1977-08-01
37	Eevaryoic	Eywohiton	1996-03-11
38	Gixexyfep	Wykopuvez	1992-12-27
39	Hezuwefij	Aifivybyt	1993-09-19
40	Iujuwae	Eeguyetufas	1946-07-28
41	Komyric	Nikiyefer	1970-11-04
42	Jaiuwuhol	Wiganasif	1986-06-18
43	Tykipuzus	Xefuaak	1955-12-27
44	Iieyvyqyi	Uycepezut	2000-06-07
45	Hulehoromaz	Oekepah	1946-04-17
46	Oyhepow	Oydafioas	1977-05-21
47	Jysytarok	Uykuwiiyx	1958-12-27
48	Iykoquoum	Diqimyauz	1956-02-23
49	Zonupad	Jumuwyuomuc	1956-11-19
50	Tuzonivea	Uyfupaxif	1994-09-09
51	Baoozujog	Bywurau	1996-05-28
52	Xemokupiouc	Kytepefeb	1968-05-26
53	Ticueadyz	Bykitof	1945-12-12
54	Layyvebie	Yahoyim	1944-04-27
55	Jurulyceoeu	Nynaiiu	1958-08-12
56	Aitemizezoq	Uiponazeq	1957-03-05
